code_grade_NEG;libelle_grade_neg;code_nomenclature_net_neh;libelle_NET_NEH;libelle_NEG_rempl;libelle_NET_NEH_rempl;code_NETH_rempl;caracteristique
S12727;TECHNICIEN SUPERIEUR EN ORGANISATION;;;TECHNICIEN SUPERIEUR EN ORGANISATION;;;CLASSE II : TECHNICIEN SUPERIEUR EN INFORMATIQUE DELIB : 2628 DU 15/12/94
S12729;CHARGE DE RENSEIGNEMENTS ET D'ACCUEIL;;;CHARGE DE RENSEIGNEMENTS ET D'ACCUEIL;;;NECESSITE QU'UN ELEMENT AYANT DEJA L'EXPERIENCE DES CONNAISSANCES ADMINISTRATIVES ESSENTIELLES ET DE LA PRATIQUE DU PUBLIC, ASSURE L'ORGANISATION, LA COORDINATION ET L'APPLICATION PRATIQUE DE L'ENSEMBLE DE CES TACHES
S12731;CHAUFFEUR MECANICIEN NIVEAU 1;;;CHAUFFEUR MECANICIEN NIVEAU 1;;;
S12732;SURVEILLANT;;;SURVEILLANT;;;OBLIGATION DE MAINTENIR UNE PERMANENCE 24H SUR 24H DANS DEUX BATIMENTS D'OU NECESSITE DE LA PRESENCE DE SURVEILLANTES DEVANT ASSURER DE JOUR ET DE NUIT LA GARDE ET LES SOINS DES RESIDENTS
S12733;PROFESSEUR D'ECOLE DE DESSIN;;;PROFESSEUR D'ECOLE DE DESSIN;;;CET EMPLOI RECOIT TOUS LES AGENTS RADIES DES CADRES APRES LE 1/8/80 POUR UNE RADIATION ANTERIEURE A CETTE DATE VOIR L'EMPLOI S12734
S12734;PROFESSEUR D'ECOLE DE DESSIN (*);;;PROFESSEUR D'ECOLE DE DESSIN (*);;;CET EMPLOI RECOIT TOUS LES AGENTS RADIES DES CADRES AVANT LE 1/8/80 POUR UNE RADIATION POSTERIEURE A CETTE DATE VOIR LE S12733
S12738;DIRECTEUR DE L'ATELIER DES DECORS (*);;;DIRECTEUR DE L'ATELIER DES DECORS (*);;;ACCESSIBLE TRANSITOIREMENT A L'AGENT EN FONCTION SUITE AU COURRIER DU 24/7/96 DE LA COLLECTIVITE EMPLOI CLASSE EN EXTINCTION CAR TOUJOURS UN AGENT EN ACTIVITE SUR CET EMPLOI EN 96
S12739;CHEF DE PLATEAU(*);;;CHEF DE PLATEAU(*);;;RETABLIR UN CERTAIN EQUILIBRE HIERARCHIQUE ENTRE L'EQUIPE MACHINISTE ET L'EQUIPE ELECTRIQUE AGENT RADIE DES CADRES SUR CET EMPLOI EN 95, EMPLOI MIS EN EXTINCTION
S12740;SECRETAIRE DE DIRECTION TRILINGUE;;;SECRETAIRE DE DIRECTION TRILINGUE;;;L'AGENT COMMUNAL QUI ASSURE LE SECRETARIAT DU MAIRE EXERCE UNE FONC- TION ADMINISTRATIVE NORMALE ET IMPORTANTE, SUIT L'EVOLUTION DE TOUS LES DOSSIERS DE LA COMMUNE ET ASSURE LE SECRETARIAT DES INSTANCES POLITIQUES L'AGENT PARLE ET ECRIT LE BASQUE ET L'ESPAGNOL COMPTE-TENU DE LA SITUATION GEOGRAPHIQUE DE LA COMMUNE QUI EST JUMELEE AVEC LA COMMUNE ESPAGNOLE DE LESAKA
S12741;CHEF DE PROJET;;;CHEF DE PROJET;;;IL COMPREND : LE CHEF DE SECTEUR REGIONAL D'EXPLOITATION, L'INGENIEUR SYSTEME, LE CHEF DE PROJET EN ORGANISATION, LE CHEF D'UN CENTRE INFORMATIQUE D'UN ETABLISSEMENT DE PLUS DE 1000 LITS GRILLE REFERENCEE A L'EMPLOI PREVU PAR LA CIRCULAIRE DE LA DIRECTION DES HOPITAUX DU 14/3/86
S12743;OPERATEUR OPTYPE VARITYPISTE;;;OPERATEUR OPTYPE VARITYPISTE;;;
S12747;AGENT DE SURVEILLANCE CHEF;;;AGENT DE SURVEILLANCE CHEF;;;AGENTS ASSERMENTES CHARGES NOTAMMENT D'ASSURER LE CONTROLE ET LA SURVEILLANCE DU STATIONNEMENT PAYANT ET DE RELEVER LES INFRACTIONS CORRESPONDANTES
S12748;CHARGE D'ANIMATION;;;CHARGE D'ANIMATION;;;DANS LE CADRE DE SA POLITIQUE D'ANIMATION, LA MAIRIE DE LIBOURNE A ETE AMENEE A DEVELOPPER SES DIFFERENTES STRUCTURES (CATE, LUDOTHEQUE, PRJ, CENTRE DE LOISIRS, CME ETC ) NECESSITANT DE NOUVEAUX EMPLOIS PERMA- NENTS A TEMPS COMPLET
S12749;TECHNICIEN DE L'ANIMATION;;;TECHNICIEN DE L'ANIMATION;;;"VOIR CARACTERISTIQUES EMPLOI SPECIFIQUE S12748 ""CHARGE D'ANIMATION"""
S12750;ANIMATEUR SPECIALISE;;;ANIMATEUR SPECIALISE;;;"VOIR CARACTERISTIQUES EMPLOI SPECIFIQUE S12748 ""CHARGE D'ANIMATION"""
S12751;ANIMATEUR;;;ANIMATEUR;;;"VOIR CARACTERISTIQUES EMPLOI SPECIFIQUE S12748 ""CHARGE D'ANIMATION"""
S12755;CHEF DE BUREAU;;;CHEF DE BUREAU;;;ACCROISSEMENT DES TACHES ADMINISTRATIVES ET DU TRAVAIL SCIENTIFIQUE QUI TRADUISENT UNE AUGMENTATION CONSIDERABLE DE L'ACTIVITE DE LA DIRECTION DES SERVICES VETERINAIRES
S12756;MONITEUR DU CENTRE D'ACCUEIL DE L'ENFANCE;;;MONITEUR DU CENTRE D'ACCUEIL DE L'ENFANCE;;;"ANCIENNE APPELLATION DE CET EMPLOI ""ANIMATEUR DE CENTRE D'ACCUEIL DE L'ENFANCE"" MODIFIEE PAR DELIBERATION DU 26 OCTOBRE 1982 AGENT CHARGE D'ORGANISER L'ACCUEIL ET LES LOISIRS DES ENFANTS DES CENTRES D'ACCUEIL, D'ASSURER LA PREPARATION ET L'ANIMATION DE LEURS ACTIVITES ET DE SE PREOCCUPER DE LEUR EDUCATION PENDANT SON TEMPS DE SERVICE"
S12758;CHEF PREPARATEUR;;;CHEF PREPARATEUR;;;
S12761;COORDINATEUR ANIMATEUR DES ACTIVITES SPORTIVES ET CULTURELLES;;;COORDINATEUR ANIMATEUR DES ACTIVITES SPORTIVES ET CULTURELLES;;;AGENT DE COORDINATION ET D'ANIMATION DES ACTIVITES SPORTIVES ET CULTURELLES DE LA COMMUNE ETABLISSEMENT ET SUIVI DES PLANNINGS D'UTILISATION DES INFRASTRUCTURES DE LA COMMUNE ET RELATIONS AVEC TOUTES LES SOCIETES ET ORGANISMES UTILISATEURS DE CES INFRASTRUCTURES
S12763;ADJOINT TECHNIQUE CHEF*;;;ADJOINT TECHNIQUE CHEF*;;;LES AGENTS EN ACTIVITE N'AYANT PAS ETE INTEGRES A LA DATE DE LA PARUTION DE LA FILIERE TECHNIQUE (02 90) CET EMPLOI NE PEUT PLUS ETRE ASSIMILE - EN VERTU DU DECRET N 77-722 DU 29 JUIN 1977 LES EMPLOIS D'INSPECTEUR DES TRAVAUX ET INSPECTEUR DES BAT DES HOP CIVILS DE LYON SONT INTEGRES DANS L'EMPLOI DE CHEF DE SECTION - EN VERTU DU DECRET N 82-501 DU 11 JUIN 1982 -ART 12- LES CHEFS DE SECTION SONT INTEGRES DANS L'EMPLOI D'ADJOINT TECHNIQUE CHEF
S12764;ASSISTANT SOCIO EDUCATIF;;;ASSISTANT SOCIO-EDUCATIF;;;CET EMPLOI EST CALQUE SUR LES 7 PREMIERS ECHELONS DU S 12695 LES 8EME 9EME ET 10EME ECHELONS DU S12695 ETANT RECLASSES DANS LE S12724 (DELIBERATION DU 23 JANVIER 1995)
S12766;CHARGE D'ETUDE;;;CHARGE D'ETUDE;;;AMENAGEMENT URBAIN CENTRE SUR LES ACTIVITES DE CONCEPTION ET DE PROGRAMMATION ET CHARGE DU SUIVI DE L'OPERATIONNALITE DES PROCEDURES : GESTION DU DROIT DES SOLS, POLITIQUE DE L'HABITAT, ACTION FONCIERE ET GESTION DU PATRIMOINE
S12770;ASSISTANT DENTAIRE*;;;AGENT SOCIAL PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Agent social principal de 2ème classe;TMP3;NECESSITE DE DOTER LE SERVICE DENTAIRE DU CENTRE MUNICIPAL DE SANTE D'UN PERSONNEL DE HAUT NIVEAU DE QUALIFICATION AFIN D'AMELIORER LA QUALITE DU SERVICE RENDU A LA POPULATION
S12771;TECHNICIEN DE RECHERCHE PREMIERE CLASSE*;;;TECHNICIEN DE RECHERCHE PREMIERE CLASSE*;;;PAR DELIBERATION DU 20 JUILLET 1995 LA COLLECTIVITE A DEMANDE UNE REVALORISATION ET UN CHANGEMENT DE LIBELLE DE CET EMPLOI UN REJET LUI A ETE ADRESSE CAR PAS DE POSSIBILITE DE REVALORISATION DES EMPLOIS SPECIFIQUES SUITE A LA PARUTION DES FILIERES DE LA FONCTION PUBLIQUE TERRITORIALE
S12772;TECHNICIEN DE RECHERCHE DEUXIEME CLASSE*;;;TECHNICIEN DE RECHERCHE DEUXIEME CLASSE*;;;PAR DELIBERATION DU 20 JUILLET 1995 LA COLLECTIVITE A DEMANDE UNE UNE REVALORISATION ET UN CHANGEMENT DE LIBELLE DE CET EMPLOI UN REJET LUI A ETE ADRESSE CAR PAS DE POSSIBILITE DE REVALORISATION DES EMPLOIS SPECIFIQUES SUITE A LA PARUTION DES FILIERES DE LA FONCTION PUBLIQUE TERRITORIALE
S12773;TECHNICIEN DE RECHERCHE TROISIEME CLASSE*;;;TECHNICIEN DE RECHERCHE TROISIEME CLASSE*;;;PAR DELIBERATION DU 20 JUILLET 1995 LA COLLECTIVITE A DEMANDE UNE REVALORISATION ET UN CHANGEMENT DE LIBELLE DE CET EMPLOI UN REJET LUI A ETE ADRESSE CAR PAS DE POSSIBILITE DE REVALORISATION DES EMPLOIS SPECIFIQUES SUITE A LA PARUTION DES FILIERES DE LA FONCTION PUBLIQUE TERRITORIALE
S12777;MONITEUR EDUCATEUR;;;MONITEUR EDUCATEUR;;;
S12784;RESTAURATEUR SPECIALISTE;;;RESTAURATEUR SPECIALISTE;;;
S12785;CORRECTEUR D'IMPRIMERIE;;;CORRECTEUR D'IMPRIMERIE;;;EMPLOI CALQUE SUR GRILLE CORRECTEUR ADJOINT D'IMPRIMERIE JUSQU'AU 31 MAI 1986 A COMPTER DU 1ER JUIN 1986 RECLASSEMENT SUR GRILLE INDICIAIRE CORRECTEUR D'IMPRIMERIE
S12786;CHEF DE SERVICE ADMINISTRATIF;;;CHEF DE SERVICE ADMINISTRATIF;;;ADMINISTRATIVEMENT LES SERVICES FONCTIONNENT PARFAITEMENT MAIS SATURATION DU FAIT DE L'EVOLUTION DE LA COLLECTIVITE IL S'AGIT DE RESTRUCTURER LE TECHNIQUE TOUT EN SOULAGEANT L'ADMINISTRATIF
S12787;DIRECTEUR DE L'ECOLE DE MUSIQUE;;;DIRECTEUR DE L'ECOLE DE MUSIQUE;;;CETTE CREATION PERMETTRA D'AVOIR EN PERMANENCE UNE PERSONNE SUSCEPTI- BLE D'ASSURER LE BON FONCTIONNEMENT DE L'ECOLE ET D'EN COORDONNER LES ACTIVITES
S12788;EDUCATEUR SPECIALISE;;;EDUCATEUR SPECIALISE;;;
S12790;EDUCATEUR CHEF;;;EDUCATEUR CHEF;;;
S12792;CHEF DU SERVICE DES PERMIS DE CONSTRUIRE ET DE L'URBANISME;;;CHEF DU SERVICE DES PERMIS DE CONSTRUIRE ET DE L'URBANISME;;;AGENT CHARGE DE LA GESTION DU SERVICE DE L'URBANISME ET DES PERMIS DE CONSTRUIRE, DE COORDONNER LES ACTIVITES DU PERSONNEL QUI Y EST AFFECTE ET D'EN ASSURER LE CONTROLE
S12793;PROFESSEUR D'INITIATION MUSICALE;;;PROFESSEUR D'INITIATION MUSICALE;;;POUR ASSURER LE FONCTIONNEMENT NORMAL DE L'ECOLE DE MUSIQUE, CREATION D'UN EMPLOI DE PROFESSEUR D'INITIATION MUSICALE A TEMPS COMPLET
S12797;DIRECTEUR PROFESSEUR DE L'ECOLE MUNICIPALE DE MUSIQUE (*);;;DIRECTEUR PROFESSEUR DE L'ECOLE MUNICIPALE DE MUSIQUE (*);;;
S12798;DIRECTEUR DE CENTRE SOCIAL;;;DIRECTEUR DE CENTRE SOCIAL;;;
S12799;DIRECTEUR DE SERVICE DE RESTAURATION (*);;;DIRECTEUR DE SERVICE DE RESTAURATION (*);;;IL SERA RESPONSABLE DE LA CONFECTION ET DE LA DISTRIBUTION DES REPAS SERVIS : AU RESTAURANT SCOLAIRE, A LA RESIDENCE DU PARC FLEURI, A DOMICILE POUR LES PERSONNES AGEES , DANS LE CADRE DES ACTIVITES AUTUNVACANCES
S12800;SOUS DIRECTEUR DU CONSERVATOIRE NATIONAL DE REGION;;;SOUS DIRECTEUR DU CONSERVATOIRE NATIONAL DE REGION;;;
S12801;TECHNICIEN SUPERIEUR EN ORGANISATION CLASSE 3;;;TECHNICIEN SUPERIEUR EN ORGANISATION CLASSE 3;;;
S12802;DIRECTEUR DU SERVICE DE DOCUMENTATION ET DE RECHERCHES (*);;;DIRECTEUR DU SERVICE DE DOCUMENTATION ET DE RECHERCHES (*);;;AGENT CHARGE DE LA CENTRALISATION ET DU CLASSEMENT DES DOCUMENTS INTERESSANT LES QUESTIONS COMMUNALES
S12803;SURVEILLANT DU PLAN D'EAU  (*);;;SURVEILLANT DU PLAN D'EAU  (*);;;SURVEILLANCE GENERALE DES ABORDS DU PLAN D'EAU, MESURE DES DEBITS DES FILTRES, DES PRESSIONS INTERSTITIELLES, LECTURE SIMULTANEE DE LA COTE DU PLAN D'EAU, SURVEILLANCE DE L'OUVRAGE AVAL, TENUE D'UN LIVRE JOURNAL, SURVEILLANCE DES BAIGNADES , VERBALISATION
S12804;CONSEILLER SOCIO-EDUCATIF;;;CONSEILLER SOCIO-EDUCATIF;;;DELIB: D 1559-3,4 DU 17/10/94 ILS ST CHARGES DE DEFINIR LES BESOINS DES PERS ET DE LA MISE EN PLACE DES ORIENTATIONS SOC APPROPIEES ILS ONT POUR MISSION D'ENCADRER LES PERSONNELS SOC ILS PEUVENT OCCUPER DES EMPLOIS DE RESPONSABLE DE SECTEUR D'ACTIVITE SOC SPECIFIQUES ET DE CONSEILLER TECHNIQUE
S12805;ASSISTANT SOCIO-EDUCATIF;;;ASSISTANT SOCIO-EDUCATIF;;;DELIB:1994 D 1559-1 ET 2 DU 17/10/94 ILS EXERCENT LEUR FONCTION DANS LES SPECIALITES SUIVANTES:- ASSISTANT DE SERVICE SOCIAL:CONSEIL, ORIENTATION, SOUTIENT DES PERSONNELS EN DIFFICULTES SOCIALES -CONSEILLER EN ECONOMIE SOCIALE ET FAMILIALE: INFORMATION,FORMATION, CONSEIL DES PERSONNES EN DIFFICULTES SOCIALES AFIN DE RESOUDRE LES PROBLEMES DE LA VIE QUOTIDIENNE PARTICIPATION AUX ORIENTATIONS GENERALES DE LA POLITIQUE SOCIALE MISE EN OEUVRE CONFORMÉMENT À LA DÉLIBÉRATION 2004 PP 26 DES 5 ET 6 AVRIL 2004, CHANGEMENT DE LA DURÉE DU TEMPS PASSÉ DANS LE 1ER ÉCHELON : PASSE DE 3 MOIS À 1 AN À COMPTER DU 01/01/04
S12806;ASSISTANT SOCIO-EDUCATIF PRINCIPAL;;;ASSISTANT SOCIO-EDUCATIF PRINCIPAL;;;DELIB: 1994 D 1559 -1 ET 2 DU 17/10/94 ILS PEUVENT ETRE CHARGES DE COORDONNER L'ACTIVITE, DES ASSITANTS SOCIO-EDUCATIFS
S12807;PUERICULTRICE DE CLASSE NORMALE;;;PUERICULTRICE DE CLASSE NORMALE;;;DELIB: 1994 D 1560 - 1 ET 2 DU 17/10/94 DÉLIBÉRATIONS 2003-PP-50-1°,2° DU 23/09/03 - APPLICATION DU DÉCRET 2001-1374 DU 31/12/01 AUX FONCTIONNAIRES DE LA PREF DE POLICE À COMPTER DU 01/01/02 (CATÉGORIE HIÉRARCHIQUE A) CF DÉLIBÉRATION : 2011 PP 18-1°ET 2° DES 20 ET 21/06/11:EMPLOI MIS EN EXTINCTION UN DROIT D'OPTION IRRÉVOCABLE DE 6 MOIS EST OUVERT À COMPTER DU 01/07/12 POUR L'INTÉGRATION DANS LES EMPLOIS DE PUÉRICULTRICE EN SOINS GÉNÉRAUX ET SPÉCIALISÉS DE 2ÈME[S16522]ET 3ÈME GRADE [S16574]
S12809;PUERICULTRICE DE CLASSE SUPERIEURE (*);;;PUERICULTRICE DE CLASSE SUPERIEURE (*);;;DELIB : 1994 D 1560 - 1 ET 2 DU 17/10/94 DÉLIBÉRATIONS 2003-PP-50-1°,2° DU 23/09/03 - APPLICATION DU DÉCRET 2001-1374 DU 31/12/01 AUX FONCTIONNAIRES DE LA PRÉF DE POLICE À COMPTER DU 01/01/02 (CATÉGORIE HIÉRARCHIQUE A) CF DÉLIBÉRATION : 2011 PP 18-1°ET 2° DES 20 ET 21/06/11:EMPLOI MIS EN EXTINCTION UN DROIT D'OPTION IRRÉVOCABLE DE 6 MOIS EST OUVERT À COMPTER DU 01/07/12 POUR L'INTÉGRATION DANS LES EMPLOIS DE PUÉRICULTRICE EN SOINS GÉNÉRAUX ET SPÉCIALISÉS DE 2ÈME[S16522]ET 3ÈME GRADE [S16574]
S12810;INFIRMIER DE CLASSE NORMALE;;;INFIRMIER DE CLASSE NORMALE;;;DELIB : 1994 D1560 - 1 ET 2 DU 17/10/94 DÉLIBÉRATIONS 2003-PP-50 1° 2° DU 23/09/03-APPLICATION DU DÉCRET 2001-1374 DU 31/12/01 AUX FONCTIONNAIRES DE LA PREF DE POLICE À COMPTER DU 01/01/02 (CATÉGORIE HIÉRARCHIQUE B) GRADE MIS EN EXTINCTION À CPTER DU 01/04/11 CF À LA DÉLIBÉRATION: 2011 PP 18 -1° ET 2° DES 20 ET 21/06/11 DROIT D'OPTION IRRÉVOCABLE DE 6 MOIS POUR INTÉGRATION DS LES GRADES D'INFIRMIER EN SOINS GÉNÉRAUX ET SPÉCIALISÉS DU 1ER ET 2ÈME GRADE. DELIB N°2016 PP 68-1 ET 2 DES 12-13-14 ET 15/12/16 REVALO AU 01/01/16-01/01/17 ET AU 01/01/18: CONDITIONS AVANCEMENT UNIQUEMENT AU 01/01/17.DÉLIB 2017 PP 103-1 / DÉLIB 2017 PP 103-2 DES 11, 12 ET 13 DÉCEMBRE 2017 REPORTANT LA DATE D'ENTRÉE EN VIGUEUR DU PPCR DE 2018 À 2019
S12811;INFIRMIER DE BLOC OPERATOIRE DE CLASSE NORMALE;;;INFIRMIER DE BLOC OPERATOIRE DE CLASSE NORMALE;;;DELIB: 1994 D 1560 - 1 ET 2 DU 17/10/94 DÉLIBÉRATIONS 2003-PP-50-1°,2° DU 23/09/03 - APPLICATION DU DÉCRET 2001-1374 DU 31/12/01 AUX FONCTIONNAIRES DE LA PREF DE POLICE À COMPTER DU 01/01/02 (CATÉGORIE HIÉRARCHIQUE A)
S12812;INFIRMIER ANESTHESISTE DE CLASSE NORMALE;;;INFIRMIER ANESTHESISTE DE CLASSE NORMALE;;;DELIB : 1994 D 1560 - 1 ET 2 DU 17/10/94 DÉLIBÉRATIONS 2003-PP-50-1° 2° DU 23/09/03 - APPLICATION DU DÉCRET 2001-1374 DU 31/12/01 AUX FONCTIONNAIRES DE LA PREF DE POLICE À COMPTER DU 01/01/02 (CATÉGORIE HIÉRARCHIQUE A)
S12813;INFIRMIER DE CLASSE SUPERIEURE;;;INFIRMIER DE CLASSE SUPERIEURE;;;DELIB: 1994 D 1560 - 1 ET 2 DÉLIBÉRATIONS 2003-PP-50-1°,2° DU 23/09/03 - APPLICATION DU DÉCRET 2001-1374 DU 31/12/01 AUX FONCTIONNAIRES DE LA PREF DE POLICE À COMPTER DU 01/01/02 (CATÉGORIE HIÉRARCHIQUE B) GRADE MIS EN EXTINCTION À CPTER DU 01/04/11 CF À LA DÉLIBÉRATION: 2011 PP 18 -1° ET 2° DES 20 ET 21/06/11 DROIT D'OPTION IRRÉVOCABLE DE 6 MOIS POUR INTÉGRATION DS LES GRADES D'INFIRMIER EN SOINS GÉNÉRAUX ET SPÉCIALISÉS DU 1ER ET 2ÈME GRADE REVALO AUX 01/04/11 ET 01/01/12 CF DÉLIBÉRATIONS N°2011 PP 19-1° ET 2° DES 20 ET 21/06/11 DELIB N°2016 PP 68-1 ET 2 DES 12-13-14 ET 15/12/16 REVALO AU 01/01/16-01/01/17 ET AU 01/01/18: CONDITIONS AVANCEMENT UNIQUEMENT AU 01/01/17.DÉLIB 2017 PP 103-1 / DÉLIB 2017 PP 103-2 DES 11, 12 ET 13 DÉCEMBRE 2017 REPORTANT LA DATE D'ENTRÉE EN VIGUEUR DU PPCR DE 2018 À 2019
S12814;INFIRMIER DE BLOC OPERATOIRE DE CLASSE SUPERIEURE;;;INFIRMIER DE BLOC OPERATOIRE DE CLASSE SUPERIEURE;;;DELIB : 1994 D 1560 - 1 ET 2 DU 17/10/94 DÉLIBÉRATIONS 2003-PP-50-1°,2° DU 23/09/03 - APPLICATION DU DÉCRET 2001-1374 DU 31/12/01 AUX FONCTIONNAIRES DE LA PRÉF DE POLICE À COMPTER DU 01/01/02 (CATÉGORIE HIÉRARCHIQUE A)
S12815;INFIRMIER ANESTHESISTE DE CLASSE SUPERIEURE;;;INFIRMIER ANESTHESISTE DE CLASSE SUPERIEURE;;;DELIB: 1994 D1560 - 1 ET 2 DU 17/10/94 DÉLIBÉRATIONS 2003-PP-50-1°,2° DU 23/09/03 - APPLICATION DU DÉCRET 2001-1374 DU 31/12/01 AUX FONCTIONNAIRES DE LA PRÉF DE POLICE À COMPTER DU 01/01/02 (CATÉGORIE HIÉRARCHIQUE A)
S12818;MANIPULATEUR D'ELECTRORADIOLOGIE MEDICALE DE CLASSE NORMALE;;;MANIPULATEUR D'ELECTRORADIOLOGIE MEDICALE DE CLASSE NORMALE;;;DELIB : 1993 D 1548 - 5,6,7 ET 8 DU 18/10/93 DELIB :1994 D 1560 - 3 ET 4 DU 17/10/94 LA DÉLIBÉRATION 2003-PP-50 DU 23 SEPTEMBRE 2003 NE PRÉVOIT PAS DE RECLASSEMENT POUR CETTE SPÉCIALITÉ
S12819;TECHNICIEN DE LABORATOIRE DE CLASSE NORMALE;;;TECHNICIEN DE LABORATOIRE DE CLASSE NORMALE;;;DELIB : 1993 D 1548 - 5,6,7 ET 8 DU 18/10/93 DELIB : 1994 D 1560 - 3 ET 4 DU 17/10/94 CE GRADE EST CALQUE SUR L'HOSPITALIER, IL EST A DISTINGUER DU S13516 LA DÉLIBÉRATION 2003-PP-50 DU 23 SEPTEMBRE 2003 NE PRÉVOIT PAS DE RECLASSEMENT POUR CETTE SPÉCIALITÉ
S12820;MANIPULATEUR ELECTRORADIO MEDICALE CLASSE SUP(*);;;MANIPULATEUR ELECTRORADIO MEDICALE CLASSE SUP(*);;;DELIB : 1993 D 1548 - 5,6,7 ET8 DU 18/10/93 DELIB : 1994 D 1560 -3,4 DU 17/10/94 LA DÉLIBÉRTION 2003-PP-50 DU 23 SEPTEMBRE 2003 NE PRÉVOIT PAS DE RECLASSEMENT POUR CETTE SPÉCIALITÉ
S12821;TECHNICIEN DE LABORATOIRE CLASSE SUPERIEURE(*);;;TECHNICIEN DE LABORATOIRE CLASSE SUPERIEURE(*);;;DELIB : 1993 D 1548 - 5,6,7 ET 8 DU 18/10/93 DELIB : 1994 D 1560 - 3 ET 4 DU 17/10/94 CE GRADE EST CALQUE SUR L'HOSPITALIER, IL EST A DISTINGUER DU S13517 LA DÉLIBÉRATION 2003-PP-50 DU 23 SEPTEMBRE 2003 NE PRÉVOIT PAS DE RECLASSEMENT POUR CETTE SPÉCIALITÉ
S12822;MASSEUR KINESITERAPEUTE DE CLASSE NORMALE;;;MASSEUR KINESITERAPEUTE DE CLASSE NORMALE;;;DELIB : 1993 D 1548 - 9 ET 10 DU 18/10/1993 LA DÉLIBÉRATION 2003-PP-50 DU 23 SEPTEMBRE 2003 NE PRÉVOIT PAS DE RECLASSEMENT POUR CETTE SPÉCIALITÉ
S12823;MASSEUR KINESITHERAPEUTE DE CLASSE SUPERIEURE;;;MASSEUR KINESITHERAPEUTE DE CLASSE SUPERIEURE;;;DELIB : 1993 D 1548 - 9 ET 10 DU 18/10/93 LA DÉLIBÉRATION 2003-PP-50 DU 23 SEPTEMBRE 2003 NE PRÉVOIT PAS DE RECLASSEMENT POUR CETTE SPÉCIALITÉ
S12824;DIETETICIEN DE CLASSE NORMALE (*);;;DIETETICIEN DE CLASSE NORMALE (*);;;DELIB : 1993 D 1548 - 9 ET 10 DU 18/10/93 LA DÉLIBÉRATION 2003-PP-50 DU 23 SEPTEMBRE 2003 NE PRÉVOIT PAS DE RECLASSEMENT POUR CETTE SPÉCIALITÉ
S12825;DIETETICIEN DE CLASSE SUPERIEURE (*);;;DIETETICIEN DE CLASSE SUPERIEURE (*);;;DELIB : 1993 D 1548 - 9 ET 10 DU 18/10/93 LA DÉLIBÉRATION 2003-PP-50 DU 23 SEPTEMBRE 2003 NE PRÉVOIT PAS DE RECLASSEMENT POUR CETTE SPÉCIALITÉ
S12826;AGENT DE SERVICES HOSPITALIER QUALIFIE DE DEUXIEME CATEGORIE;;;AGENT DE SERVICES HOSPITALIER QUALIFIE DE DEUXIEME CATEGORIE;;;DELIB : 1993 D 1548 - 11 DU 18/10/93 DELIB : 1994 D 1560 - 5 DU 17/10/94, CET EMPLOI (E02) EST RECLASSÉ LE 01/10/05 DANS LE S15978 (E03) SUIVANT LES CONDITIONS DE L'ART 8 DU TITRE II.
S12827;AGENT DE SERVICE HOSPITALIER QUALIFIE DE PREMIERE CATEGORIE;;;AGENT DE SERVICE HOSPITALIER QUALIFIE DE PREMIERE CATEGORIE;;;DELIB : 1993 D 1548-11 DU 18/10/93 DELIB : 1994 D 1560 - 5 DU 17/10/94
S12828;AGENT DE SERVICES HOSPITALIER HORS CATEGORIE (ECH 2);;;AGENT DE SERVICES HOSPITALIER HORS CATEGORIE (ECH 2);;;DELIB : 1993 D 1548 - 11 DU 18/10/93 DELIB : 1994 D 1560 - 5 DU 17/10/94, CONFORMÉMENT À LA DÉLIBÉRATION N° 2006 PP-14 -1ER DES 27 ET 28/02/06,CET EMPLOI(E02) EST RECLASSÉ DANS LE S15979 (E03) LE 01/10/05 SUIVANT LES CONDITIONS DE L'ART 8 DU TITRE II.
S12830;DIRECTEUR DES SERVICES SOCIAUX;;;DIRECTEUR DES SERVICES SOCIAUX;;;
S12831;SOUS-PROTE (*);;;SOUS-PROTE (*);;;
S12832;PROTE (*);;;PROTE (*);;;
S12833;PUPITREUR;;;PUPITREUR;;;CLASSE 1 STATUT PARTICULIER PAR REF A LA LETTRE MINIST DU 14/03/86
S12834;PROGRAMMEUR;;;PROGRAMMEUR;;;CLASSE 1 STATUT PARTICULIER PAR REF A LA LETTRE MINIST DU 14/03/86
S12835;TECHNICIEN EN ORGANISATION;;;TECHNICIEN EN ORGANISATION;;;CLASSE 1 STATUT PARTICULIER PAR REF A LA LETTRE MINIST DU 14/03/86
S12836;PREPARATEUR;;;PREPARATEUR;;;CLASSE 2 STATUT PARTICULIER PAR REF A LA LETTRE MINIST DU 14/03/86
S12837;GESTIONNAIRE DE RESEAU;;;GESTIONNAIRE DE RESEAU;;;CLASSE 2 STATUT PARTICULIER PAR REF A LA LETTRE MINIST DU 14/03/86
S12838;CHEF DE SALLE;;;CHEF DE SALLE;;;CLASSE 2 STATUT PARTICULIER REF PAR LETTRE DU MINIST DU 14/03/86
S12839;ANALYSTE PROGRAMMEUR;;;ANALYSTE PROGRAMMEUR;;;CLASSE 2 STATUT PARTICULIER PAR REF A LA LETTRE MINIST DU 14/03/86
